Dataset,Package,File,Number of alerts
dataset4,snowplow-python-tr,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/payload.py,1
dataset4,snowplow-python-tr,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/test/unit/test_payload.py,1
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websockifyserver.py,27
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocket.py,15
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocketproxy.py,9
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/sysloghandler.py,4
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/token_plugins.py,4
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/echo_client.py,3
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/setup.py,2
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/auth_plugins.py,1
dataset4,webso,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocketserver.py,1
upstream-repos,abseil-cpp,No file,0
upstream-repos,addon-resizer,No file,0
upstream-repos,aerospike-7,No file,0
upstream-repos,aerospike,No file,0
upstream-repos,airflow,D:\packj\upstream-repos\airflow\airflow\sensors\base.py,2
upstream-repos,airflow,D:\packj\upstream-repos\airflow\dev\prepare_bulk_issues.py,2
upstream-repos,airflow,D:\packj\upstream-repos\airflow\hatch_build.py,2
upstream-repos,airflow,D:\packj\upstream-repos\airflow\providers\tests\system\amazon\aws\example_emr_eks.py,2
upstream-repos,airflow,D:\packj\upstream-repos\airflow\providers\tests\system\amazon\aws\example_sagemaker.py,2
upstream-repos,airflow,D:\packj\upstream-repos\airflow\airflow\lineage\hook.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\airflow\models\dagbag.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\airflow\models\dagcode.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\airflow\models\taskinstance.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\airflow\utils\file.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\airflow\utils\hashlib_wrapper.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\dev\assign_cherry_picked_prs_with_milestone.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\dev\breeze\src\airflow_breeze\commands\release_management_commands.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\dev\breeze\src\airflow_breeze\commands\setup_commands.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\dev\breeze\src\airflow_breeze\utils\kubernetes_utils.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\dev\breeze\src\airflow_breeze\utils\md5_build_check.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\dev\breeze\src\airflow_breeze\utils\packages.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\docs\exts\docs_build\dev_index_generator.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\docs\exts\operators_and_hooks_ref.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\providers\tests\ftp\sensors\test_ftp.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\scripts\ci\pre_commit\check_pre_commit_hooks.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\scripts\ci\pre_commit\check_provider_docs.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\scripts\ci\pre_commit\generate_airflow_diagrams.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\scripts\ci\pre_commit\ruff_format.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\scripts\ci\pre_commit\update_source_date_epoch.py,1
upstream-repos,airflow,D:\packj\upstream-repos\airflow\tests\task\task_runner\test_standard_task_runner.py,1
upstream-repos,alsa-lib,No file,0
upstream-repos,aom,D:\bandit\upstream-repos\aom\tools\auto_refactor\av1_preprocess.py,1
