Package name,Dataset,File path,Risk level (high/critical),Languages
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/activestorage/app/assets/javascripts/activestorage.esm.js,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/activestorage/app/assets/javascripts/activestorage.js,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/application-a71b3024f80aea3181c09774ca17e712.js,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/railties/test/commands/server_test.rb,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/railties/test/generators/plugin_generator_test.rb,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/apis/guardduty/2017-11-28/docs-2.json,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/apis/inspector2/2020-06-08/docs-2.json,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/apis/medialive/2017-10-14/docs-2.json,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/apis/mediapackagev2/2022-12-25/docs-2.json,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/apis/securityhub/2018-10-26/api-2.json,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/apis/securityhub/2018-10-26/docs-2.json,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/build_tools/aws-sdk-code-generator/spec/protocol_tests_spec_helper.rb,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/doc-src/templates/default/fulldoc/html/js/jquery.js,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/gems/aws-sdk-acm/lib/aws-sdk-acm/client_api.rb,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/gems/aws-sdk-bedrockruntime/lib/aws-sdk-bedrockruntime/client.rb,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/gems/aws-sdk-codebuild/lib/aws-sdk-codebuild/client.rb,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/gems/aws-sdk-codebuild/lib/aws-sdk-codebuild/client_api.rb,HIGH,Ruby
ruby3.2-aws-eventstream,upstream-repos,/tmp/ruby3.2-aws-eventstream.zip3166037999/gems/aws-sdk-codebuild/lib/aws-sdk-codebuild/types.rb,HIGH,Ruby
