Dataset,Package,File,Number of alerts
dataset1,ardm_sqlite-adapter-1.2.0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/ardm_sqlite-adapter-1.2.0.gem/lib/dm-sqlite-adapter.rb,1
dataset1,ardm_sqlite-adapter-1.2.0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/ardm_sqlite-adapter-1.2.0.gem/lib/dm-sqlite-adapter/adapter.rb,1
dataset1,ardm_sqlite-adapter-1.2.0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/ardm_sqlite-adapter-1.2.0.gem/lib/dm-sqlite-adapter/spec/setup.rb,1
dataset1,ardm_sqlite-adapter-1.2.0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/ardm_sqlite-adapter-1.2.0.gem/spec/adapter_spec.rb,1
dataset1,atlas-client-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/atlas-client-0.0.2.gem/ext/trellislike/unflaming/waffling/extconf.rb,2
dataset1,atlas-client-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/atlas-client-0.0.2.gem/lib/atlas_client/finder.rb,1
dataset1,atlas-client-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/atlas-client-0.0.2.gem/lib/atlas_client/json_object.rb,1
dataset1,atlas-client-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/atlas-client-0.0.2.gem/lib/atlas_client/place_finder.rb,1
dataset1,atlas-client-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/atlas-client-0.0.2.gem/lib/atlas_client/poi_finder.rb,1
dataset1,auto-localize-0.1,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/auto-localize-0.1.gem/ext/trellislike/unflaming/waffling/extconf.rb,2
dataset1,beerdb-api-0.1.1,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/beerdb-api-0.1.1.gem/ext/trellislike/unflaming/waffling/extconf.rb,2
dataset1,beerdb-api-0.1.1,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/beerdb-api-0.1.1.gem/lib/beerdb_api.rb,2
dataset1,indonesian-province-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/indonesian-province-0.0.2.gem/ext/trellislike/unflaming/waffling/extconf.rb,2
dataset1,moving-average-0.1.1,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/moving-average-0.1.1.gem/ext/trellislike/unflaming/waffling/extconf.rb,2
dataset1,moving-average-0.1.1,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/moving-average-0.1.1.gem/lib/moving_average/moving_average.rb,1
dataset1,moving-average-0.1.1,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/moving-average-0.1.1.gem/spec/moving_average_spec.rb,2
dataset1,murmuring-spider-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/murmuring-spider-0.0.2.gem/ext/trellislike/unflaming/waffling/extconf.rb,2
dataset1,murmuring-spider-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/murmuring-spider-0.0.2.gem/lib/murmuring_spider/operation.rb,1
dataset1,murmuring-spider-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/murmuring-spider-0.0.2.gem/lib/murmuring_spider/status.rb,1
dataset1,murmuring-spider-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/murmuring-spider-0.0.2.gem/spec/murmuring_spider/status_spec.rb,1
dataset1,murmuring-spider-0.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/ruby/murmuring-spider-0.0.2.gem/spec/spec_helper.rb,2
dataset2,cis_publishers-1.2.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/cis_publishers-1.2.3-r0.apk/home/cg/cis_publishers/setup.py,9
dataset2,pptest-999.0.14-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/pptest-999.0.14-r0.apk/home/cg/pptest/pptest/__init__.py,18
dataset2,pptest-999.0.14-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/pptest-999.0.14-r0.apk/home/cg/pptest/setup.py,19
dataset2,progrsesbar2-0.1-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/progrsesbar2-0.1-r0.apk/home/cg/progrsesbar2/setup.py,6
dataset2,randrange-0.0.0-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/randrange-0.0.0-r0.apk/home/cg/randrange/setup.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/home/cg/selfgetstudyram/setup.py,4
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/bin/activate_this.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/_distutils_hack/__init__.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/_virtualenv.py,2
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/__init__.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/__main__.py,0
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/__init__.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/build_env.py,6
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cache.py,4
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/autocompletion.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/base_command.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/cmdoptions.py,3
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/index_command.py,1
dataset2,selfgetstudyram-10.3-r0,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset2/python/selfgetstudyram-10.3-r0.apk/usr/share/testapps/selfgetstudyram/venv/lib/python3.12/site-packages/pip/_internal/cli/main.py,1
