Dataset,Package,File,Number of alerts
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/examples/tracker_api_example/app.py,3
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/test/unit/test_subject.py,2
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/payload.py,1
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/test/unit/test_payload.py,1
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websockifyserver.py,37
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocket.py,18
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/test_token_plugins.py,13
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocketproxy.py,12
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/test_websockifyserver.py,10
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/setup.py,7
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/sysloghandler.py,5
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/token_plugins.py,4
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/echo_client.py,3
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/test_websocketproxy.py,2
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/auth_plugins.py,2
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocketserver.py,1
bandit4mal,abseil-cpp.json,D:\bandit\upstream-repos\abseil-cpp\absl\abseil.podspec.gen.py,6
bandit4mal,addon-resizer.json,D:\bandit\upstream-repos\addon-resizer\hack\scripts\break_mig.py,7
bandit4mal,addon-resizer.json,D:\bandit\upstream-repos\addon-resizer\vertical-pod-autoscaler\hack\emit-metrics.py,1
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_taskinstance.py,550
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\jobs\test_scheduler_job.py,469
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_dag.py,421
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\decorators\test_setup_teardown.py,309
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\core\test_configuration.py,253
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_dagrun.py,181
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\serialization\test_dag_serialization.py,180
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\hooks\test_s3.py,176
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\api_connexion\endpoints\test_dag_endpoint.py,175
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\api_connexion\endpoints\test_task_instance_endpoint.py,175
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\sensors\test_base.py,164
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\hashicorp\_internal_client\test_vault_client.py,150
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\executors\ecs\test_ecs_executor.py,148
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\api_connexion\endpoints\test_dag_run_endpoint.py,145
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\cncf\kubernetes\operators\test_pod.py,142
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\hooks\test_cloud_sql.py,136
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\webserver\test_webserver.py,133
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\databricks\hooks\test_databricks.py,128
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\elasticsearch\log\test_es_task_handler.py,125
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\hooks\test_bigquery.py,115
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_dagbag.py,111
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\operators\test_datasync.py,110
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\decorators\test_python.py,110
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\airflow_core\test_worker.py,109
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\fab\auth_manager\test_security.py,109
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\cncf\kubernetes\executors\test_kubernetes_executor.py,108
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\utils\test_task_group.py,106
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\always\test_connection.py,105
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\airflow_core\test_rpc_server.py,101
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_baseoperator.py,99
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\airflow_core\test_scheduler.py,97
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\other\test_pgbouncer.py,96
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\common\sql\hooks\test_dbapi.py,95
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_mappedoperator.py,95
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\teradata\hooks\test_teradata.py,93
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\helm_tests\airflow_aux\test_pod_template_file.py,92
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\operators\test_python.py,92
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\http\hooks\test_http.py,89
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\operators\test_dataproc.py,87
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\hooks\test_base_aws.py,85
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\google\cloud\operators\test_cloud_storage_transfer_service.py,83
