Dataset,Package,File,Number of alerts
dataset2,aastra-xml_api-1.1.4-r2,/tmp/datasets/dataset2/ruby/aastra-xml_api-1.1.4-r2.apk/aastra-xml_api-1.1.4-r2/home/cg/gems/aastra-xml_api-1.1.4/lib/aastra_xml_api/phone_status_entry.rb,2
dataset2,aastra-xml_api-1.1.4-r2,/tmp/datasets/dataset2/ruby/aastra-xml_api-1.1.4-r2.apk/aastra-xml_api-1.1.4-r2/home/cg/gems/aastra-xml_api-1.1.4/lib/aastra_xml_api/phone.rb,2
dataset2,aastra-xml_api-1.1.4-r2,/tmp/datasets/dataset2/ruby/aastra-xml_api-1.1.4-r2.apk/aastra-xml_api-1.1.4-r2/home/cg/cache/aastra-xml_api-1.1.4.gem/data.tar.gz/data.tar/lib/aastra_xml_api/phone_status_entry.rb,2
dataset2,aastra-xml_api-1.1.4-r2,/tmp/datasets/dataset2/ruby/aastra-xml_api-1.1.4-r2.apk/aastra-xml_api-1.1.4-r2/home/cg/cache/aastra-xml_api-1.1.4.gem/data.tar.gz/data.tar/lib/aastra_xml_api/phone.rb,2
dataset2,aastra-xml_api-1.1.4-r2,/tmp/datasets/dataset2/ruby/aastra-xml_api-1.1.4-r2.apk/aastra-xml_api-1.1.4-r2/home/cg/gems/aastra-xml_api-1.1.4/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset2,aastra-xml_api-1.1.4-r2,/tmp/datasets/dataset2/ruby/aastra-xml_api-1.1.4-r2.apk/aastra-xml_api-1.1.4-r2/home/cg/cache/aastra-xml_api-1.1.4.gem/data.tar.gz/data.tar/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset2,atlas-client-3.0-r2,/tmp/datasets/dataset2/ruby/atlas-client-3.0-r2.apk/atlas-client-3.0-r2/home/cg/gems/atlas-client-0.0.2/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset2,atlas-client-3.0-r2,/tmp/datasets/dataset2/ruby/atlas-client-3.0-r2.apk/atlas-client-3.0-r2/home/cg/cache/atlas-client-0.0.2.gem/data.tar.gz/data.tar/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset2,indonesian-province-0.0.2-r2,/tmp/datasets/dataset2/ruby/indonesian-province-0.0.2-r2.apk/indonesian-province-0.0.2-r2/home/cg/gems/indonesian-province-0.0.2/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset2,indonesian-province-0.0.2-r2,/tmp/datasets/dataset2/ruby/indonesian-province-0.0.2-r2.apk/indonesian-province-0.0.2-r2/home/cg/cache/indonesian-province-0.0.2.gem/data.tar.gz/data.tar/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/gems/moving-average-0.1.1/spec/moving_average_spec.rb,24
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/cache/moving-average-0.1.1.gem/data.tar.gz/data.tar/spec/moving_average_spec.rb,24
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/gems/moving-average-0.1.1/lib/moving_average/moving_average.rb,14
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/cache/moving-average-0.1.1.gem/data.tar.gz/data.tar/lib/moving_average/moving_average.rb,14
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/cache/moving-average-0.1.1.gem/data.tar.gz/data.tar/lib/moving_average/errors.rb,2
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/gems/moving-average-0.1.1/lib/moving_average/errors.rb,2
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/gems/moving-average-0.1.1/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset2,moving-average-0.1.1-r2,/tmp/datasets/dataset2/ruby/moving-average-0.1.1-r2.apk/moving-average-0.1.1-r2/home/cg/cache/moving-average-0.1.1.gem/data.tar.gz/data.tar/ext/trellislike/unflaming/waffling/extconf.rb,1
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/@eslint-community/regexpp/index.js,76
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/acorn/dist/acorn.d.ts,72
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/acorn/dist/acorn.js,58
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/lib/linter/linter.js,35
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/@eslint-community/eslint-utils/index.js,18
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/js-yaml/dist/js-yaml.js,16
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/lib/languages/js/source-code/source-code.js,15
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/lib/eslint/eslint.js,15
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/ajv/dist/ajv.bundle.js,13
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/acorn-jsx/index.js,13
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/lib/rules/indent.js,12
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/esquery/dist/esquery.js,12
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/esquery/dist/esquery.esm.js,12
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/@eslint/eslintrc/lib/config-array-factory.js,12
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/lib/cli-engine/cli-engine.js,12
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/reusify/test.js,11
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/@eslint/eslintrc/lib/shared/config-validator.js,11
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/lib/eslint/legacy-eslint.js,10
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/js-yaml/lib/loader.js,10
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/js-yaml/dist/js-yaml.min.js,10
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/lib/rule-tester/rule-tester.js,10
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/estraverse/estraverse.js,9
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/reusify/reusify.js,9
dataset3,eslint-9.7.0-r0,/tmp/datasets/dataset3/js/eslint-9.7.0-r0.apk/eslint-9.7.0-r0/usr/lib/node_modules/eslint/node_modules/@eslint/eslintrc/lib/cascading-config-array-factory.js,9
