package_name,version,epoch,repository,languages
az,2.64.0,1,https://github.com/Azure/azure-cli/,"{'Python': 120438283, 'Roff': 1036959, 'Shell': 58976, 'PowerShell': 34760, 'Batchfile': 14845, 'Rich Text Format': 12032, 'HTML': 8992, 'Dockerfile': 7611, 'C#': 7424, 'ANTLR': 5373, 'JavaScript': 4936, 'Bicep': 3487, 'CSS': 2381, 'TSQL': 1145, 'Jupyter Notebook': 389, 'EJS': 305}"
bank-vaults,1.20.4,18,https://github.com/bank-vaults/bank-vaults,"{'Go': 184089, 'Shell': 14668, 'Nix': 3550, 'Makefile': 3547, 'Dockerfile': 1793}"
bash-completion,2.14.0,1,https://github.com/scop/bash-completion,"{'Shell': 1037819, 'Python': 430332, 'Makefile': 34981, 'Dockerfile': 3254, 'Awk': 2680, 'Perl': 2557, 'M4': 1054, 'CMake': 653, 'Emacs Lisp': 272}"
basisu,1.16.4,1,https://github.com/BinomialLLC/basis_universal,"{'C++': 6843780, 'C': 3024832, 'JavaScript': 117811, 'HTML': 96493, 'CMake': 17121, 'Python': 10095, 'Shell': 6863}"
bats,1.11.0,0,https://github.com/bats-core/bats-core,"{'Shell': 360682, 'Dockerfile': 2285}"
bat,0.24.0,2,https://github.com/sharkdp/bat,"{'Rust': 416838, 'Python': 8968, 'Shell': 3653, 'Batchfile': 38}"
bazelisk,1.22.0,0,https://github.com/bazelbuild/bazelisk,"{'Go': 114657, 'Shell': 22541, 'Python': 17143, 'Starlark': 8908, 'JavaScript': 2127}"
benchmark,1.9.0,1,https://github.com/google/benchmark,"{'C++': 622330, 'Python': 105564, 'CMake': 50322, 'Starlark': 11922, 'C': 4359}"
berg,0.3.5,1,https://codeberg.org/RobWalt/codeberg-cli/,{'Shell': 12}
binaryen,119,0,https://github.com/webassembly/binaryen,"{'WebAssembly': 13744012, 'C++': 7121044, 'JavaScript': 1683644, 'Python': 302377, 'C': 204817, 'CMake': 30586, 'Shell': 4007, 'Assembly': 818}"
bind,9.18.29,0,https://gitlab.isc.org/isc-projects/bind9.git,
binutils,2.43.1,0,https://sourceware.org/git/binutils-gdb.git,
bird,2.15.1,1,https://gitlab.nic.cz/labs/bird.git,{'Emacs Lisp': 148}
blosc,1.21.6,1,https://github.com/Blosc/c-blosc,"{'C': 4924626, 'C++': 579919, 'Ada': 89080, 'Pascal': 75203, 'C#': 54009, 'Makefile': 53963, 'CMake': 46032, 'Assembly': 30857, 'HTML': 29827, 'DIGITAL Command Language': 27305, 'Shell': 11158, 'Python': 8800, 'Roff': 7799, 'Starlark': 4480, 'SAS': 1847, 'Module Management System': 1545, 'M4': 786, 'Batchfile': 784}"
bom,0.6.0,10,https://github.com/kubernetes-sigs/bom,"{'Go': 401339, 'Shell': 1204}"
boring-registry,0.15.2,1,https://github.com/TierMobility/boring-registry,"{'Go': 282120, 'Smarty': 1884, 'Dockerfile': 713, 'Makefile': 687}"
botan,3.5.0,0,https://github.com/randombit/botan,"{'C++': 9647797, 'Python': 664304, 'C': 202510, 'Shell': 25027, 'CMake': 8895, 'PowerShell': 1939, 'Emacs Lisp': 1313, 'HTML': 184}"
bpftool,7.4.0,0,https://github.com/libbpf/bpftool,"{'C': 891892, 'Shell': 64982, 'Makefile': 16909, 'Dockerfile': 875}"
brew,4.4.0,0,https://github.com/Homebrew/brew,"{'Ruby': 4686144, 'Shell': 299202, 'Roff': 120959, 'HTML': 30986, 'Rich Text Format': 5305, 'Swift': 5146, 'Dockerfile': 4092, 'CMake': 840, 'PostScript': 485}"
brotli,1.1.0,4,https://github.com/google/brotli.git,"{'TypeScript': 13360432, 'C': 2122930, 'C#': 748417, 'Java': 558363, 'JavaScript': 328507, 'Kotlin': 207454, 'Python': 130650, 'C++': 113457, 'Starlark': 24105, 'Go': 19028, 'CMake': 15223, 'Shell': 6777, 'Makefile': 1161}"
brunsli,0.1,1,https://github.com/google/brunsli,"{'C++': 537906, 'C': 25272, 'Python': 19414, 'Starlark': 13235, 'Java': 9700, 'CMake': 7408, 'Shell': 2071, 'Makefile': 1913}"
btop,1.4.0,0,https://github.com/aristocratos/btop,"{'C++': 1215859, 'C': 308007, 'Makefile': 20182, 'CMake': 11364}"
bubblewrap,0.10.0,0,https://github.com/containers/bubblewrap,"{'C': 179347, 'Shell': 41507, 'Python': 20339, 'Meson': 8944, 'Emacs Lisp': 63}"
buck2,20241001,0,https://github.com/facebook/buck2,"{'Rust': 14952913, 'Starlark': 5038413, 'Python': 1706486, 'Erlang': 417284, 'TypeScript': 55479, 'JavaScript': 28920, 'Go': 21411, 'Objective-C': 18111, 'Shell': 15555, 'C++': 14029, 'CSS': 5235, 'Makefile': 5011, 'HTML': 4740, 'Batchfile': 2857, 'C': 2769, 'Java': 1934, 'Nix': 1816, 'Raku': 1152, 'Terra': 870, 'RenderScript': 316, 'Roff': 40}"
buf,1.44.0,0,https://github.com/bufbuild/buf,"{'Go': 4817309, 'Makefile': 33580, 'Shell': 19734}"
buildah,1.37.3,1,https://github.com/containers/buildah,"{'Go': 1579853, 'Shell': 685472, 'Dockerfile': 15044, 'Makefile': 11223, 'Perl': 10721, 'Nix': 5882, 'Roff': 1045, 'Awk': 512, 'Assembly': 431}"
buildkitd,0.16.0,1,https://github.com/moby/buildkit,"{'Go': 3458554, 'Dockerfile': 53856, 'Shell': 17943, 'HCL': 7118, 'Makefile': 2427, 'Ruby': 2131, 'Assembly': 1691}"
busybox,1.37.0,0,https://git.busybox.net/busybox,{'Makefile': 55636}
