package_name,version,epoch,repository
cilium-1.16,1.16.2,0,https://github.com/cilium/cilium
cilium-cli,0.16.19,0,https://github.com/cilium/cilium-cli
cjson,1.7.18,1,https://github.com/DaveGamble/cJSON
clblast,1.6.3,1,https://github.com/CNugteren/CLBlast
cli11,2.4.2,1,https://github.com/CLIUtils/CLI11
clickhouse-24.9,24.9.1.3278,1,https://github.com/ClickHouse/ClickHouse
cloudflared,2024.1.0,13,https://github.com/cloudflare/cloudflared
cloudnative-pg,1.24.0,1,https://github.com/cloudnative-pg/cloudnative-pg
cloud-sql-proxy,2.13.0,1,https://github.com/GoogleCloudPlatform/cloud-sql-proxy
cloudwatch-exporter,0.16.0,0,https://github.com/prometheus/cloudwatch_exporter
cluster-api-controller,1.8.3,0,https://github.com/kubernetes-sigs/cluster-api
cluster-autoscaler-1.31,1.31.0,1,https://github.com/kubernetes/autoscaler
clusterctl,1.8.3,0,https://github.com/kubernetes-sigs/cluster-api
cluster-proportional-autoscaler,1.8.11,9,https://github.com/kubernetes-sigs/cluster-proportional-autoscaler
cni-plugins,1.5.1,3,https://github.com/containernetworking/plugins
collectd,5.12.0,2,https://github.com/collectd/collectd.git
conda-build,24.9.0,0,https://github.com/conda/conda-build
conda,24.9.1,0,https://github.com/conda/conda
configmap-reload,0.14.0,0,https://github.com/jimmidyson/configmap-reload
configurable-http-proxy,4.6.2,0,https://github.com/jupyterhub/configurable-http-proxy
confluent-common-docker,7.6.0,8,https://github.com/confluentinc/common-docker
confluent-docker-utils,0.0.87,0,https://github.com/confluentinc/confluent-docker-utils
confluent-kafka-images,7.9.0.12,0,https://github.com/confluentinc/kafka-images
confluent-kafka,with,0,https://github.com/confluentinc/kafka
conftest,0.55.0,2,https://github.com/open-policy-agent/conftest
conntrack-tools,1.4.8,4,git://git.netfilter.org/conntrack-tools/
consul-k8s-1.5,1.5.3,0,https://github.com/hashicorp/consul-k8s
containerd,1.7.22,0,https://github.com/containerd/containerd
container-entrypoint,0.1.0,1,https://github.com/wolfi-dev/container-entrypoint
contour-1.30,1.30.0,3,https://github.com/projectcontour/contour
controller-gen,0.16.3,0,https://github.com/kubernetes-sigs/controller-tools
convco,0.6.0,1,https://github.com/convco/convco
coredns,1.11.3,7,https://github.com/coredns/coredns
cortex,1.18.0,1,https://github.com/cortexproject/cortex
cosign,2.4.1,0,https://github.com/sigstore/cosign
couchdb-3.3,3.3.3,4,https://github.com/apache/couchdb
cowsay,3.04,0,https://github.com/tnalpgge/rank-amateur-cowsay
cpp-httplib,0.18.0,0,https://github.com/yhirose/cpp-httplib.git
crac-criu,1.4.3,0,https://github.com/canonical/crac-criu
crane,0.20.2,1,https://github.com/google/go-containerregistry
crc32c,1.1.2,2,https://github.com/google/crc32c
crfsuite,0.12,2,https://github.com/chokkan/crfsuite
cri-tools,1.31.1,1,https://github.com/kubernetes-sigs/cri-tools
croc,10.0.13,0,https://github.com/schollz/croc
cronie,1.7.2,0,https://github.com/cronie-crond/cronie
crossplane-provider-aws,1.14.0,0,https://github.com/upbound/provider-aws
crossplane-provider-azure,1.7.0,0,https://github.com/upbound/provider-azure
crossplane-provider-gcp,1.8.3,0,https://github.com/upbound/provider-gcp
crossplane,1.17.1,0,https://github.com/crossplane/crossplane
ctop,0.7.7,20,https://github.com/bcicen/ctop
cups,2.4.11,0,https://github.com/OpenPrinting/cups
curl-rustls,8.10.1,0,https://github.com/curl/curl.git
cxxopts,3.2.1,1,https://github.com/jarro2783/cxxopts.git
cyrus-sasl,2.1.28,3,https://github.com/cyrusimap/cyrus-sasl.git
cython-0,0.29.37.1,0,https://github.com/cython/cython
dagdotdev,0.0.7,0,https://github.com/jonjohnsonjr/dagdotdev
dagger,0.13.3,0,https://github.com/dagger/dagger
dart,3.5.3,0,https://github.com/dart-lang/sdk
dash,0.5.12,0,https://git.kernel.org/pub/scm/utils/dash/dash.git
dask-gateway,2024.1.0,10,https://github.com/dask/dask-gateway
datadog-agent,7.56.2,3,https://github.com/DataDog/datadog-agent
datadog-jmxfetch,0.49.4,0,https://github.com/DataDog/jmxfetch
datadog-security-agent-policies,0.59.0,0,https://github.com/DataDog/security-agent-policies
dataplaneapi,3.0.2,0,https://github.com/haproxytech/dataplaneapi
datawire-envoy-1.31,1.31.2,2,https://github.com/datawire/envoy
dav1d,1.4.3,0,https://code.videolan.org/videolan/dav1d.git
dbmate,2.21.0,0,https://github.com/amacneil/dbmate
delta,0.18.2,0,https://github.com/dandavison/delta
delve,1.23.1,0,https://github.com/go-delve/delve
deno,1.46.3,0,https://github.com/denoland/deno
dependency-track,4.12.0,0,https://github.com/DependencyTrack/dependency-track
descheduler,0.31.0,0,https://github.com/kubernetes-sigs/descheduler
dex,2.41.1,1,https://github.com/dexidp/dex
dgraph,24.0.2,1,https://github.com/dgraph-io/dgraph
difftastic,0.60.0,0,https://github.com/Wilfred/difftastic
direnv,2.34.0,6,https://github.com/direnv/direnv
distribution,3.0.0,2,https://github.com/distribution/distribution
dive,0.12.0,12,https://github.com/wagoodman/dive
docker-cli-buildx,0.17.1,0,https://github.com/docker/buildx
docker-cli,27.3.1,0,https://github.com/docker/cli
docker-compose,2.29.7,0,https://github.com/docker/compose
docker-credential-acr-env,0.7.0,15,https://github.com/chrismellard/docker-credential-acr-env
docker-credential-gcr,2.1.25,0,https://github.com/GoogleCloudPlatform/docker-credential-gcr
dockerize,0.8.0,1,https://github.com/jwilder/dockerize
docker-nginx,1.27.2,0,https://github.com/nginxinc/docker-nginx
docker-selenium,4.25.0.20240922,0,https://github.com/SeleniumHQ/docker-selenium
docker,27.3.1,0,https://github.com/moby/moby
doctest,2.4.11,1,https://github.com/doctest/doctest
doppler-kubernetes-operator,1.5.1,4,https://github.com/DopplerHQ/kubernetes-operator
dosfstools,4.2,2,https://github.com/dosfstools/dosfstools
dotnet-6,6.0.133,0,https://github.com/dotnet/installer
dotnet-7,7.0.120,0,https://github.com/dotnet/installer
dotnet-8,8.0.8,0,https://github.com/dotnet/dotnet
dotty,3.5.1,0,https://github.com/lampepfl/dotty
double-conversion,3.3.0,1,https://github.com/google/double-conversion
druid,30.0.1,1,https://github.com/apache/druid.git
dstat,0.7.4,1,https://github.com/dagwieers/dstat
dua,2.29.2,0,https://github.com/Byron/dua-cli
dumb-init,1.2.5,3,https://github.com/Yelp/dumb-init
dynamic-localpv-provisioner,4.1.1,0,https://github.com/openebs/dynamic-localpv-provisioner
e2fsprogs,1.47.1,0,https://github.com/tytso/e2fsprogs
efs-utils,2.1.0,0,https://github.com/aws/efs-utils
eksctl,0.191.0,0,https://github.com/weaveworks/eksctl
elixir-1.17,1.17.3,0,https://github.com/elixir-lang/elixir
emacs,30.0.91,0,https://github.com/emacs-mirror/emacs
emissary,3.9.1,0,https://github.com/emissary-ingress/emissary
enchant2,2.8.2,0,https://github.com/AbiWord/enchant
envoy-1.31,1.31.2,0,https://github.com/envoyproxy/envoy
erlang-26,26.2.5.3,0,https://github.com/erlang/otp.git
esbuild,0.24.0,0,https://github.com/evanw/esbuild
eslint,9.12.0,0,https://github.com/eslint/eslint
etcd-3.5,3.5.16,1,https://github.com/etcd-io/etcd
exa,0.10.1,2,https://github.com/ogham/exa
execline,2.9.6.0,1,git://git.skarnet.org/execline
exiftool,12.7,0,https://github.com/exiftool/exiftool
exploitdb,2024.10.02,0,https://gitlab.com/exploit-database/exploitdb.git
external-dns,0.15.0,0,https://github.com/kubernetes-sigs/external-dns
external-secrets-operator,0.10.4,0,https://github.com/external-secrets/external-secrets
extism,1.5.4,0,https://github.com/extism/cli
eza,0.20.1,0,https://github.com/eza-community/eza
falcoctl,0.10.0,1,https://github.com/falcosecurity/falcoctl
falco-libs,0.18.1,0,https://github.com/falcosecurity/libs
falco-no-driver,0.39.0,0,https://github.com/falcosecurity/falco
falco-rules,3.2.0,0,https://github.com/falcosecurity/rules
falcosidekick,2.29.0,3,https://github.com/falcosecurity/falcosidekick
falco,0.39.0,0,https://github.com/falcosecurity/falco
fd,10.2.0,0,https://github.com/sharkdp/fd
ferretdb,1.24.0,1,https://github.com/FerretDB/FerretDB
ffmpeg,7.0.2,3,https://git.ffmpeg.org/ffmpeg.git
filebeat,8.15.2,0,https://github.com/elastic/beats
file,5.45,3,https://github.com/file/file.git
fio,3.38,0,https://github.com/axboe/fio
fish,3.7.1,1,https://github.com/fish-shell/fish-shell
flannel-cni-plugin,1.5.1,2,https://github.com/flannel-io/cni-plugin
flannel,0.25.7,0,https://github.com/flannel-io/flannel
flatbuffers,24.3.25,1,https://github.com/google/flatbuffers
flink-1.20,1.20.0,0,https://github.com/apache/flink
fluent-bit-3.1,3.1.9,0,https://github.com/fluent/fluent-bit
fluent-bit-docker-image,20220322,0,https://github.com/fluent/fluent-bit-docker-image
fluent-bit-plugin-loki,3.2.0,0,https://github.com/grafana/loki
fluent-operator,3.2.0,0,https://github.com/fluent/fluent-operator
fluent-plugin-cloudwatch-logs,0.14.3,3,https://github.com/fluent-plugins-nursery/fluent-plugin-cloudwatch-logs.git
fluent-plugin-concat,2.5.0,0,https://github.com/fluent-plugins-nursery/fluent-plugin-concat
fluent-plugin-detect-exceptions,0.0.15,2,https://github.com/GoogleCloudPlatform/fluent-plugin-detect-exceptions
fluent-plugin-elasticsearch,5.4.3,2,https://github.com/uken/fluent-plugin-elasticsearch.git
fluent-plugin-grok-parser,2.6.2,0,https://github.com/fluent/fluent-plugin-grok-parser
fluent-plugin-kubernetes_metadata_filter,3.5.0,4,https://github.com/fabric8io/fluent-plugin-kubernetes_metadata_filter.git
fluent-plugin-multi-format-parser,1.1.0,0,https://github.com/repeatedly/fluent-plugin-multi-format-parser
fluent-plugin-out-http,1.3.4,4,https://github.com/fluent-plugins-nursery/fluent-plugin-out-http.git
fluent-plugin-prometheus,2.2.0,0,https://github.com/fluent/fluent-plugin-prometheus
fluent-plugin-record-modifier,2.2.0,3,https://github.com/repeatedly/fluent-plugin-record-modifier
fluent-plugin-rewrite-tag-filter,2.4.0,3,https://github.com/fluent/fluent-plugin-rewrite-tag-filter
fluent-plugin-s3,1.7.2,3,https://github.com/fluent/fluent-plugin-s3
fluent-plugin-splunk-hec,1.3.3,11,https://github.com/splunk/fluent-plugin-splunk-hec
fluent-plugin-systemd,1.1.0,1,https://github.com/fluent-plugins-nursery/fluent-plugin-systemd
fluent-plugin-tag-normaliser,0_git20241006,0,https://github.com/kube-logging/fluent-plugin-tag-normaliser
flux-helm-controller,1.1.0,0,https://github.com/fluxcd/helm-controller
flux-image-automation-controller,0.39.0,0,https://github.com/fluxcd/image-automation-controller
flux-image-reflector-controller,0.33.0,0,https://github.com/fluxcd/image-reflector-controller
flux-kustomize-controller,1.4.0,0,https://github.com/fluxcd/kustomize-controller
flux-notification-controller,1.4.0,0,https://github.com/fluxcd/notification-controller
flux-source-controller,1.4.1,0,https://github.com/fluxcd/source-controller
flux,2.4.0,0,https://github.com/fluxcd/flux2
flyte,1.13.2,0,https://github.com/flyteorg/flyte
fmt,11.0.2,1,https://github.com/fmtlib/fmt
font-abyssinica,2.201,0,https://github.com/silnrsi/font-abyssinica
font-amiri,1,0,https://github.com/aliftype/amiri
fontconfig,2.15.0,1,https://gitlab.freedesktop.org/fontconfig/fontconfig.git
fontforge,20230101,1,https://github.com/fontforge/fontforge
font-lohit-beng-extra,3.3.1,0,https://salsa.debian.org/fonts-team/fonts-beng-extra
font-noto-cjk,0.0_git20220127,0,https://github.com/notofonts/noto-cjk
font-noto-emoji,2.047,0,https://github.com/googlefonts/noto-emoji
font-padauk,5.001,0,https://github.com/silnrsi/font-padauk
font-tlwg,0.7.3,0,https://github.com/tlwg/fonts-tlwg
fping,5.2,0,https://github.com/schweikert/fping.git
fq,0.13.0,0,https://github.com/wader/fq
freerdp-3,3.5.1,3,https://github.com/FreeRDP/FreeRDP
freerdp,2.11.7,2,https://github.com/FreeRDP/FreeRDP
freetds,1.4.23,0,https://github.com/FreeTDS/freetds
frp,0.60.0,1,https://github.com/fatedier/frp
fscrypt,0.3.5,1,https://github.com/google/fscrypt
fulcio,1.6.4,1,https://github.com/sigstore/fulcio
fuse2,2.9.9,0,https://github.com/libfuse/libfuse.git
fuse3,3.16.2,3,https://github.com/libfuse/libfuse.git
fuse-overlayfs-snapshotter,1.0.8,12,https://github.com/containerd/fuse-overlayfs-snapshotter
fuse-overlayfs,1.14,0,https://github.com/containers/fuse-overlayfs
fzf,0.55.0,1,https://github.com/junegunn/fzf
gatekeeper-3.17,3.17.1,2,https://github.com/open-policy-agent/gatekeeper
gcsfuse,1.4.2,11,https://github.com/GoogleCloudPlatform/gcsfuse
gd,2.3.3,8,https://github.com/libgd/libgd.git
geoip,1.6.12,3,https://github.com/maxmind/geoip-api-c
geos-3.12,3.12.2,1,https://github.com/libgeos/geos
gflags,2.2.2,2,https://github.com/gflags/gflags/
ggshield,1.32.1,0,https://github.com/GitGuardian/ggshield
ghaudit,0.4.0,6,https://github.com/chainguard-dev/ghaudit
gh,2.58.0,0,https://github.com/cli/cli
giflib,5.2.2,3,https://git.code.sf.net/p/giflib/code
gitaly-17.4,17.4.1,0,https://gitlab.com/gitlab-org/gitaly.git
gitea,1.22.2,1,https://github.com/go-gitea/gitea
gitlab-cng-17.4,17.4.0,2,https://gitlab.com/gitlab-org/build/CNG.git
gitlab-kas-17.4,17.4.1,2,https://gitlab.com/gitlab-org/cluster-integration/gitlab-agent
gitlab-pages-17.4,17.4.1,0,https://gitlab.com/gitlab-org/gitlab-pages.git
gitlab-runner-17.4,17.4.0,0,https://gitlab.com/gitlab-org/gitlab-runner
gitleaks,8.20.0,0,https://github.com/gitleaks/gitleaks
git-lfs,3.5.1,8,https://github.com/git-lfs/git-lfs
gitness,3.0.0,0,https://github.com/harness/gitness/
gitsign,0.10.2,7,https://github.com/sigstore/gitsign/
